otu	sim	del	ins	mis	len	score	hit
34	denovo85	93.57	4	7	7	280	1091	C31.2_JF683332;C31.6_HQ630878;C31_AY258496;C31.1_HQ630876
35	denovo261	92.53	6	1	14	281	1095.5	F4.2_AM748574
36	denovo1232	95.22	3	6	3	251	1097.5	A6_AF186058
37	denovo714	89.93	18	1	9	278	1101.5	C17.2_FJ461513
38	denovo982	92.2	6	9	7	282	1102.5	F4.3_AM748578
39	denovo1110	91.2	5	5	15	284	1105.5	F109_AJ291527
40	denovo789	94.47	5	0	9	253	1106.5	F4.2_AM748574
41	denovo193	91.1	9	4	12	281	1117	F4.2_AM748574
42	denovo1237	92.59	5	6	9	270	1117.5	D102_AF174573
43	denovo933	91.01	16	1	8	278	1119.5	C31_AY258496
44	denovo1151	98.59	0	1	3	283	1119.5	C15.24_KC597696
45	denovo1096	90.78	4	4	18	282	1122	F4.3_AM748578
46	denovo479	96.02	2	6	2	251	1122.5	A6_AF186058;A145_EU074935
47	denovo565	90.81	6	5	15	283	1128	C1149_AB294620
48	denovo386	92.39	3	2	16	276	1129	C21.10_JF683331
49	denovo746	91.81	6	6	11	281	1129.5	F4.2_AM748574
50	denovo706	91.3	16	1	7	276	1130	C21.2_JF683324;C21.11_HQ630874
51	denovo1064	90.36	8	2	17	280	1130	F4.2b_AM748576
52	denovo586	91.01	18	0	7	278	1132.5	C17.2_FJ461513
53	denovo154	95.09	4	7	2	265	1134	C21.9_JF683330;C21.11_HQ630874;C21/3d/C3k_AY239372
54	denovo808	90.04	4	2	22	281	1134	F4.4a_AM748583
55	denovo393	94.24	3	6	7	278	1134.5	C17.2_FJ461513
56	denovo430	92.61	6	4	11	284	1139.5	G3.1_KC597688
57	denovo646	91.1	5	4	16	281	1140	F4.2_AM748574
58	denovo623	91.1	3	2	20	281	1140.5	F4.2_AM748574
59	denovo17	94.46	4	7	4	271	1142	C3.15_FJ529649
60	denovo593	92.17	8	4	10	281	1142.5	F4.2_AM748574
61	denovo683	93.73	4	8	5	271	1143.5	D1_AF334660;D111_AF174560
62	denovo859	96.72	1	1	7	274	1143.5	B1.III_Green2014
63	denovo173	92.63	4	9	8	285	1144	C12_AF499801
64	denovo600	90.81	18	1	7	283	1146	C1.7_FJ461494
65	denovo628	96.41	1	3	5	251	1147.5	A142_EU074932
66	denovo126	92.17	8	4	10	281	1149	F4.2_AM748574
67	denovo736	94.29	2	8	6	280	1151	C31.5_HQ630877;C31_AY258496;C31.1_HQ630876
68	denovo1100	95.17	3	7	3	269	1151.5	C31a_AY589746
69	denovo730	91.79	5	5	13	280	1151.5	F4.2b_AM748576
70	denovo1204	96.81	3	3	2	251	1153.5	A6_AF186058;A145_EU074935
71	denovo889	90.78	3	2	21	282	1154.5	F4.3_AM748578
72	denovo879	92.93	2	2	16	283	1158	C7_AF499797;C36_AY258480;C3.16_EU786015
73	denovo519	93.53	5	7	6	278	1158.5	C63a_AY589767
74	denovo405	95.36	1	7	5	280	1158.5	C31.2_JF683332
75	denovo419	92.53	3	3	15	281	1159	F4.4a_AM748583
76	denovo883	92.45	19	0	2	278	1159.5	C31_AY258496
77	denovo38	92.91	5	7	8	282	1159.5	F4.3_AM748578
78	denovo1026	92.99	15	0	4	271	1161.5	D1a_JN558078
79	denovo135	95.39	2	7	4	282	1161.5	C3.15_FJ529649
80	denovo739	94.6	4	8	3	278	1162	C63a_AY589767
81	denovo338	92.39	17	0	4	276	1163	C21/3d/C3k_AY239372
82	denovo10	91.87	14	3	6	283	1163.5	C41_AY258486;C24_AY239376
83	denovo414	93.86	2	9	6	277	1165	C35.2_AY258500
84	denovo1031	92.09	16	0	6	278	1165	C17.2_FJ461513
85	denovo1192	94.2	4	9	3	276	1166	C21.5_JF683327;C21.4_JF683326
86	denovo873	91.52	5	3	16	283	1166	C82_GU907658;C82a_GU907659
87	denovo613	93.64	3	3	12	283	1167.5	C36_AY258480
88	denovo99	92.93	6	8	6	283	1168	C41_AY258486
89	denovo143	92.39	14	0	7	276	1168.5	C21/3d/C3k_AY239372
90	denovo409	93.62	1	6	11	282	1169	C3.15_FJ529649
91	denovo1101	96.81	0	2	6	251	1170	A6_AF186058;A144_EU074934
92	denovo675	93.99	4	8	5	283	1170.5	C40_AY258485;C29_AY258494
93	denovo436	92.93	4	8	8	283	1171.5	C1a_AF499788
94	denovo177	92.81	15	2	3	278	1172	C17.2_FJ461513
95	denovo1047	94.95	3	5	6	277	1172.5	C58_AY589762
96	denovo807	97.21	4	2	1	251	1173	A6_AF186058;A145_EU074935
97	denovo517	95.86	2	5	4	266	1173	C27.1_FJ461517;C27/C30_AY239379
98	denovo1098	92.25	4	2	16	284	1175.5	C1054_AY186565
99	denovo1223	95.29	1	3	9	276	1176	C21a_AY589744;C21/3d/C3k_AY239372
100	denovo1226	93.57	4	6	8	280	1176	C31.2_JF683332;C31.6_HQ630878;C31_AY258496
101	denovo1041	92.58	10	1	10	283	1176	C3.11_FJ461506
102	denovo208	93.93	4	8	5	280	1178	C31.2_JF683332;C31_AY258496;C31.1_HQ630876
103	denovo334	95.56	3	9	0	270	1179	D102_AF174573
104	denovo269	92.45	14	0	7	278	1179	C17.2_FJ461513
105	denovo376	94.2	3	7	6	276	1180	C21.9_JF683330
106	denovo1058	93.86	4	6	7	277	1180.5	C27/C30_AY239379
107	denovo667	93.24	5	6	8	281	1180.5	F4.2_AM748574
108	denovo455	93.86	4	6	7	277	1181	C27/C30_AY239379
109	denovo924	92.91	5	2	13	282	1181.5	F4.3_AM748578
110	denovo1052	94.22	5	7	4	277	1182	C27/C30_AY239379
111	denovo1139	93.91	6	6	5	279	1182	C31.10_HQ630880
112	denovo1091	93.84	4	5	8	276	1182.5	C1189_EU099831;C17_AY239370
113	denovo1190	92.2	18	0	4	282	1183.5	C1b/C1e_AY239363
114	denovo624	93.66	3	9	6	284	1183.5	F4.8_AM748588
115	denovo281	94.64	1	2	12	280	1184	C31.5_HQ630877
116	denovo763	92.53	7	3	11	281	1184	F4.2_AM748574
117	denovo1195	94.6	4	9	2	278	1184.5	C17.2_FJ461513
118	denovo1149	93.64	8	7	3	283	1184.5	C1010_DQ480607
119	denovo81	93.99	5	9	3	283	1185	C1207_EU074964
120	denovo701	95.62	3	7	2	274	1186	C29_AY258494
121	denovo13	94.29	5	7	4	280	1186	C24_AY239376
122	denovo1228	97.61	1	2	3	251	1186.5	A6_AF186058;A145_EU074935
123	denovo427	93.91	3	7	7	279	1186.5	C31.9_HQ630879
124	denovo1085	94.27	4	7	5	279	1187	C31.9_HQ630879
125	denovo385	94.57	4	7	4	276	1187.5	C17.1_JF683322
126	denovo572	94.2	2	6	8	276	1188	C17.1_JF683322
127	denovo610	93.88	3	6	8	278	1188	C17.2_FJ461513
128	denovo1055	93.24	4	5	10	281	1188.5	F4.2_AM748574
129	denovo1005	93.84	12	1	4	276	1189	C17.2_FJ461513
130	denovo235	93.64	3	4	11	283	1189.5	C94_AJ621539
131	denovo448	95.29	3	8	2	276	1190	C32.2_JF683336
132	denovo487	93.99	3	7	7	283	1190	C1p_GU907652;C41_AY258486;C42_AY765402
133	denovo781	93.84	12	1	4	276	1190.5	C17.2_FJ461513
134	denovo707	94.1	13	0	3	271	1191	D1a_JN558078;D120_EU074900
135	denovo793	95	3	3	8	280	1191	C31.2_JF683332;C31_AY258496
136	denovo1247	94.93	3	8	3	276	1191.5	C21/3d/C3k_AY239372
137	denovo315	93.97	6	5	6	282	1192.5	C3.15_FJ529649
138	denovo238	94.22	2	6	8	277	1193	C35.2_AY258500
139	denovo184	94.29	4	7	5	280	1193.5	C31.6_HQ630878;C31_AY258496;C31.1_HQ630876
140	denovo236	92.86	5	1	14	280	1194	F4.2_AM748574
141	denovo1094	93.59	5	5	8	281	1195	F4.2_AM748574
142	denovo652	92.88	6	3	11	281	1195.5	F4.2_AM748574
143	denovo676	94.24	5	4	7	278	1196	C17.2_FJ461513
144	denovo308	94.04	1	2	14	285	1196.5	C12_AF499801
145	denovo1002	94.95	3	8	3	277	1197	C27/C30_AY239379
146	denovo1187	95.71	2	3	7	280	1197	C31.5_HQ630877
147	denovo355	93.99	6	6	5	283	1197.5	C15a_AY258476
148	denovo726	92.58	10	2	9	283	1197.5	C1040_AB190269
149	denovo1244	93.84	15	1	1	276	1198	C21/3d/C3k_AY239372
150	denovo42	94.46	13	0	2	271	1199	D1a.1_JF683338
151	denovo773	93.14	4	1	14	277	1199	C26.b2_FN827164
152	denovo270	92.96	1	6	13	284	1199	F109_AJ291527
153	denovo57	93.99	4	7	6	283	1199.5	C1.6_FJ461493
154	denovo166	94.46	13	0	2	271	1200	D1.6_HQ630881
155	denovo959	94.95	2	6	6	277	1200	C27/C30_AY239379
156	denovo909	95.32	2	9	2	278	1200	C17.2_FJ461513
157	denovo931	95.29	4	7	2	276	1200.5	C21.10_JF683331
158	denovo855	93.99	3	7	7	283	1200.5	C24_AY239376
159	denovo669	93.73	1	4	13	287	1200.5	G3.3_LK392377;G3.1_KC597688
160	denovo264	93.88	10	3	4	278	1201	C17.2_FJ461513
161	denovo977	94.04	2	7	8	285	1201.5	C12_AF499801
162	denovo298	96.75	3	4	2	277	1202	C58_AY589762
163	denovo67	94.93	4	6	4	276	1202.5	C32.2_JF683336
164	denovo116	94.33	4	7	5	282	1203.5	C3.15_FJ529649
165	denovo893	94.68	1	4	10	282	1203.5	C3.15_FJ529649
166	denovo1090	95.05	4	8	2	283	1203.5	C1d_AY258488
167	denovo1097	94.35	4	6	6	283	1203.5	C1048_DQ068026
168	denovo431	94.6	4	6	5	278	1204	C17.2_FJ461513;C63a_AY589767
169	denovo812	93.53	14	0	4	278	1204.5	C17.2_FJ461513
170	denovo294	92.96	5	5	10	284	1204.5	F109_AJ291527
171	denovo234	96.98	3	4	1	265	1206	C58_AY589762
172	denovo1039	93.99	4	6	7	283	1206	C1.5_EF634157
173	denovo161	94.53	11	0	4	274	1206.5	C21.9_JF683330;C21/3d/C3k_AY239372
174	denovo51	95.99	4	6	1	274	1207	C31.6_HQ630878;C31_AY258496;C31a_AY589746
175	denovo930	93.99	3	6	8	283	1207.5	C1h_AY258473;C1.6_FJ461493
176	denovo1249	94.95	4	6	4	277	1208	C27/C30_AY239379
177	denovo661	93.55	15	0	3	279	1208	C31.9_HQ630879
178	denovo488	95.29	2	7	4	276	1209	C17.1_JF683322
179	denovo641	95.65	3	8	1	276	1209.5	C17.1_JF683322
180	denovo821	95.31	1	7	5	277	1209.5	C27/C30_AY239379
181	denovo1181	95.31	1	7	5	277	1210	C58_AY589762
182	denovo1193	94.7	5	7	3	283	1210	C1h_AY258473;C1p_GU907652;C42_AY765402
183	denovo587	93.84	11	0	6	276	1210.5	C21.2_JF683324
184	denovo266	95.2	5	3	5	271	1211	D1a_JN558078
185	denovo1186	93.26	2	1	16	282	1211	C3b_AF499791
186	denovo761	94.2	11	1	4	276	1212	C21.6_HQ630873
187	denovo995	92.53	2	0	19	281	1212.5	F4.2_AM748574
188	denovo1150	94.87	9	0	5	273	1213	C21/3d/C3k_AY239372
189	denovo1112	95.36	2	6	5	280	1213.5	C31_AY258496
190	denovo514	94.29	2	3	11	280	1213.5	C31.6_HQ630878;C31_AY258496
191	denovo1078	93.88	9	1	7	278	1214	C17.2_FJ461513
192	denovo753	92.96	2	2	16	284	1215	F4.8_AM748588;F4.8a_AM748589
193	denovo429	97.05	0	1	7	271	1216	D1a_JN558078;D106_AF174559
194	denovo1217	94.29	2	4	10	280	1216	C31.6_HQ630878;C31_AY258496;C31.1_HQ630876
195	denovo412	94.83	8	0	6	271	1216.5	D1a_JN558078
196	denovo20	95	4	7	3	280	1216.5	C31.6_HQ630878;C31_AY258496;C31.1_HQ630876
197	denovo62	93.57	12	0	6	280	1216.5	C31_AY258496
198	denovo207	96.81	1	6	2	282	1216.5	C3.15_FJ529649
199	denovo814	92.96	5	3	12	284	1216.5	F109_AJ291527
200	denovo1079	99.19	0	0	2	247	1217	H5_AJ621129
201	denovo181	95.04	3	7	4	282	1217	C3.1_JF683321
202	denovo673	93.29	13	1	5	283	1217	C1_JN558041;C94_AJ621539;C1009_DQ480608
203	denovo242	95.36	3	6	4	280	1217.5	C31a_AY589746
204	denovo575	95.05	2	7	5	283	1217.5	C1d_AY258488
205	denovo1211	93.24	2	2	15	281	1218	F4.2_AM748574
206	denovo1083	95.29	4	5	4	276	1218.5	C17.1_JF683322
207	denovo779	93.88	10	0	7	278	1218.5	C17.2_FJ461513
208	denovo583	96.04	3	6	2	278	1219	C63a_AY589767
209	denovo702	95.65	3	6	3	276	1219.5	C21/3d/C3k_AY239372
210	denovo1213	95.31	2	6	5	277	1219.5	C27/C30_AY239379
211	denovo1080	95.41	2	9	2	283	1219.5	C3.12_FJ461507;C3ff_HM185740;C42_AY765402
212	denovo869	95.09	4	7	3	285	1219.5	C12_AF499801
213	denovo550	92.88	4	0	16	281	1220	F4.2_AM748574
214	denovo1035	95.93	4	2	5	270	1220.5	D1a_JN558078
215	denovo305	94.68	3	6	6	282	1220.5	C3.15_FJ529649
216	denovo941	94.57	10	1	4	276	1221.5	C21.9_JF683330;C21.3_JF683325;C21/3d/C3k_AY239372
217	denovo83	95	5	5	4	280	1221.5	C31.6_HQ630878;C31_AY258496;C31.1_HQ630876
218	denovo174	94.7	5	7	3	283	1221.5	C1h_AY258473
219	denovo786	95.04	3	6	5	282	1223.5	C3.15_FJ529649
220	denovo297	95.68	0	3	9	278	1224	C17.2_FJ461513
221	denovo887	93.64	14	1	3	283	1224	C1d_AY258488
222	denovo797	93.99	8	4	5	283	1224	C1p_GU907652;C42_AY765402
223	denovo92	95.57	2	3	7	271	1224.5	D1_AF334660;D111_AF174560
224	denovo110	95	4	5	5	280	1224.5	C31.6_HQ630878;C31_AY258496;C31.1_HQ630876
225	denovo212	95	4	5	5	280	1224.5	C31.6_HQ630878;C31_AY258496
226	denovo94	93.24	3	0	16	281	1224.5	F4.2_AM748574
227	denovo505	94.68	4	6	5	282	1224.5	C3.15_FJ529649
228	denovo417	95.29	8	4	1	276	1225	C21/3d/C3k_AY239372
229	denovo507	93.95	4	3	10	281	1225	F4.2_AM748574
230	denovo524	93.64	14	1	3	283	1225	C3_AB778606;C1002_DQ838544;C36_AY258480
231	denovo1144	94.6	12	0	3	278	1225.5	C31_AY258496
232	denovo932	96.31	4	5	1	271	1226	D1a.1_JF683338
233	denovo1218	95.31	6	4	3	277	1226.5	C35.2_AY258500
234	denovo104	94.29	10	1	5	280	1226.5	C31_AY258496
235	denovo33	95.39	3	6	4	282	1226.5	C3.15_FJ529649
236	denovo293	93.99	2	1	14	283	1227	C94_AJ621539
237	denovo328	95.65	1	1	10	276	1227.5	C21.9_JF683330;C3o_GU907653;C21/3d/C3k_AY239372
238	denovo375	94.24	11	0	5	278	1228	C17.2_FJ461513
239	denovo650	95.71	2	6	4	280	1228	C31a_AY589746
240	denovo585	95.29	3	4	6	276	1228.5	C21.11_HQ630874
241	denovo377	99.2	1	1	0	251	1229	A6_AF186058
242	denovo98	99.2	1	1	0	251	1229	A6_AF186058
243	denovo84	95.65	3	5	4	276	1229	C21.9_JF683330;C21/3d/C3k_AY239372
244	denovo406	94.7	4	6	5	283	1229.5	C1a_AF499788;C1i_AY589731
245	denovo925	95.65	6	4	2	276	1230.5	C17.1_JF683322
246	denovo703	94.96	8	3	3	278	1230.5	C17.2_FJ461513
247	denovo478	96.01	3	6	2	276	1231	C21.9_JF683330;C21/3d/C3k_AY239372
248	denovo394	94.57	9	0	6	276	1231	C3h_AY239365
249	denovo791	95.73	3	6	3	281	1231	C3.12_FJ461507
250	denovo979	93.99	11	2	4	283	1231	C41_AY258486
251	denovo780	95.65	5	5	2	276	1231.5	C21.11_HQ630874
252	denovo647	96.01	3	6	2	276	1231.5	C21.2_JF683324
253	denovo877	95.41	3	7	3	283	1231.5	C1c/C45_AY239364;C46_EU449108;C1048_DQ068026;C1a_AF499788;C41_AY258486
254	denovo367	96.03	2	7	2	277	1232	C27/C30_AY239379
255	denovo768	96.4	2	7	1	278	1232	C12_AF499801
256	denovo462	96.65	6	1	2	269	1232.5	C31_AY258496
257	denovo262	93.64	12	0	6	283	1233	C1.5_EF634157
258	denovo1001	95.04	4	6	4	282	1233.5	C3.15_FJ529649
259	denovo712	93.97	3	2	12	282	1233.5	F4.3_AM748578
260	denovo388	95.94	10	1	0	271	1234.5	D1a.1_JF683338
261	denovo137	94.57	6	0	9	276	1234.5	C21.6_HQ630873
262	denovo495	96.79	8	1	0	280	1234.5	C31_AY258496
263	denovo687	96.04	3	7	1	278	1235.5	C17.2_FJ461513
264	denovo630	94.24	7	0	9	278	1235.5	C17.2_FJ461513
265	denovo509	94.6	4	2	9	278	1235.5	C17.2_FJ461513
266	denovo1118	95.04	3	5	6	282	1235.5	C3.15_FJ529649
267	denovo866	93.64	11	0	7	283	1236	C1c/C45_AY239364;C3.12_FJ461507;C1d_AY258488
268	denovo301	95.76	2	3	7	283	1236.5	C1p_GU907652;C1006_DQ480629
269	denovo852	93.59	3	0	15	281	1237.5	F4.2_AM748574
270	denovo876	94.6	11	0	4	278	1238	C17.2_FJ461513
271	denovo190	94.68	11	3	1	282	1238	C3b_AF499791
272	denovo1009	95.09	3	6	5	285	1238.5	C12_AF499801
273	denovo616	95.94	11	0	0	271	1239.5	D1a_JN558078
274	denovo813	97	5	0	3	267	1240	C63a_AY589767
275	denovo546	95.29	6	2	5	276	1240.5	C21.3_JF683325;C21/3d/C3k_AY239372
276	denovo581	95.44	4	6	3	285	1240.5	C12_AF499801
277	denovo423	96.74	0	3	6	276	1241	C21.8_JF683329;C21/3d/C3k_AY239372
278	denovo1254	93.99	13	0	4	283	1241	C3_AB778606;C1.7_FJ461494;C7_AF499797;C1002_DQ838544;C1019_DQ335407
279	denovo700	95.65	7	3	2	276	1241.5	C21/3d/C3k_AY239372
280	denovo816	95.65	7	3	2	276	1241.5	C21.8_JF683329
281	denovo964	95.29	2	2	9	276	1241.5	C21/3d/C3k_AY239372
282	denovo290	95.76	3	6	3	283	1241.5	C1c/C45_AY239364;C46_EU449108;C1048_DQ068026;C41_AY258486
283	denovo1202	95.05	2	6	6	283	1241.5	C41_AY258486
284	denovo463	94.72	2	7	6	284	1241.5	F109_AJ291527
285	denovo785	95.29	5	2	6	276	1242	C21.2_JF683324
286	denovo911	94.64	10	1	4	280	1242.5	C31.1_HQ630876
287	denovo282	94.95	10	0	4	277	1243.5	C35.2_AY258500
288	denovo923	95	3	3	8	280	1244.5	C31.2_JF683332
289	denovo285	94.31	6	1	9	281	1244.5	F4.2_AM748574
290	denovo897	94.93	6	0	8	276	1245	C21.9_JF683330
291	denovo614	94.96	8	1	5	278	1245	C17.2_FJ461513
292	denovo46	94.96	11	0	3	278	1245.5	C17.2_FJ461513
293	denovo515	95	2	3	9	280	1246	C31_AY258496
294	denovo770	95.65	8	2	2	276	1246.5	C3h_AY239365
295	denovo311	95.29	6	1	6	276	1246.5	C17_AY239370
296	denovo721	95.29	10	0	3	276	1247	C21.9_JF683330;C21.11_HQ630874;C21/3d/C3k_AY239372
297	denovo636	95.29	1	2	10	276	1247	C21.8_JF683329;C21/3d/C3k_AY239372
298	denovo398	94.66	3	2	10	281	1247	F4.2_AM748574
299	denovo48	94.37	1	5	10	284	1247	F109_AJ291527
300	denovo373	95	0	4	10	280	1248	C31.2_JF683332
301	denovo1025	93.95	4	0	13	281	1248	F4.2_AM748574
302	denovo838	94.68	5	3	7	282	1248	C3b_AF499791
303	denovo590	95.76	2	6	4	283	1248	C1d_AY258488
304	denovo1177	95.44	3	6	4	285	1248	C12_AF499801
305	denovo674	95.44	3	6	4	285	1248	C12_AF499801
306	denovo559	95.65	7	2	3	276	1248.5	C21.2_JF683324
307	denovo247	95.71	3	6	3	280	1248.5	C31.2_JF683332;C31_AY258496
308	denovo356	93.95	2	0	15	281	1248.5	F4.2_AM748574
309	denovo990	95.65	2	3	7	276	1249.5	C17.1_JF683322
310	denovo690	94.7	7	3	5	283	1249.5	C41_AY258486
311	denovo912	95.7	8	3	1	279	1250	C31.10_HQ630880
312	denovo971	96.11	2	7	2	283	1250	C1d_AY258488
313	denovo898	95.7	4	3	5	279	1250.5	C31.9_HQ630879
314	denovo232	95.04	5	4	5	282	1250.5	C3.1_JF683321
315	denovo400	95.79	3	6	3	285	1251	C12_AF499801
316	denovo908	96.38	4	4	2	276	1252	C21.11_HQ630874
317	denovo643	95.77	3	4	5	284	1252	F109_AJ291527
318	denovo1212	94.08	7	2	8	287	1252	G3.3_LK392377
319	denovo599	96.01	2	3	6	276	1252.5	C32.2_JF683336;C32.1_JF683335
320	denovo884	95.36	7	3	3	280	1252.5	C31.2_JF683332
321	denovo1161	95.71	1	5	6	280	1252.5	C31_AY258496
322	denovo896	95.76	3	6	3	283	1252.5	C1c/C45_AY239364;C1d_AY258488;C46_EU449108
323	denovo639	96.47	0	1	9	283	1252.5	C36_AY258480
324	denovo1129	95.65	8	1	3	276	1253	C21.4_JF683326;C3h_AY239365;C21/3d/C3k_AY239372
325	denovo1156	96.01	5	3	3	276	1253	C21/3d/C3k_AY239372
326	denovo250	93.95	2	0	15	281	1253	F4.2_AM748574
327	denovo886	95.05	6	4	4	283	1253	C3_AB778606;C1227_EU074882;C93_AJ621536;C29_AY258494
328	denovo187	96.11	1	6	4	283	1253	C1_JN558041;C1c/C45_AY239364;C1147_EF656433;C1207_EU074964;C46_EU449108;C1048_DQ068026;C41_AY258486;C1228_EU074883;C3f_AY589734;C18_AY258478
329	denovo1234	94.35	11	0	5	283	1253	C1009_DQ480608
330	denovo743	96.31	7	0	3	271	1253.5	D1a_JN558078
331	denovo1087	96.01	5	3	3	276	1253.5	C32.2_JF683336
332	denovo542	95.32	7	1	5	278	1253.5	C17.2_FJ461513
333	denovo993	95.29	6	0	7	276	1254	C21.4_JF683326;C21/3d/C3k_AY239372
334	denovo1029	95.32	4	2	7	278	1254	C17.2_FJ461513
335	denovo340	94.7	8	2	5	283	1254	C3_AB778606;C1002_DQ838544;C1040_AB190269
336	denovo775	93.6	6	1	12	297	1254.5	B1.IV_Green2014
337	denovo804	94.7	12	1	2	283	1255	C1011_DQ480605
338	denovo601	95.76	1	6	5	283	1255	C7_AF499797;C3.16_EU786015
339	denovo215	97.5	6	1	0	280	1255.5	C31.3_JF683333
340	denovo68	95	5	2	7	280	1255.5	C31_AY258496
341	denovo729	95.39	4	4	5	282	1255.5	C3.15_FJ529649
342	denovo758	96.38	6	3	1	276	1256	C3h_AY239365;C21/3d/C3k_AY239372
343	denovo369	95.65	6	1	5	276	1256	C1189_EU099831;C17_AY239370
344	denovo1224	95.76	2	4	6	283	1256	C29_AY258494
345	denovo1007	95.71	6	4	2	280	1256.5	C31.2_JF683332;C31_AY258496
346	denovo1170	95	7	1	6	280	1257	C31_AY258496
347	denovo251	94.7	11	1	3	283	1257	C1010_DQ480607
348	denovo914	94.35	2	0	14	283	1257	F4.8_AM748588
349	denovo891	96.14	2	5	4	285	1257	C59_AY589763
350	denovo501	94.31	2	0	14	281	1257.5	F4.2_AM748574
351	denovo1036	94.31	3	0	13	281	1258	F4.2_AM748574
352	denovo822	94.39	14	0	2	285	1258	C12_AF499801
353	denovo1205	95	9	0	5	280	1258.5	C31_AY258496
354	denovo413	94.64	0	1	14	280	1258.5	C31.2_JF683332
355	denovo1127	96.74	1	3	5	276	1259	C1c/C45_AY239364;C1h_AY258473;C42_AY765402
356	denovo359	97.14	1	1	6	280	1259	C31.5_HQ630877
357	denovo926	94.7	9	1	5	283	1259	C1c/C45_AY239364;C67_AY686647;C44_AY589750
358	denovo795	96.01	9	1	1	276	1260.5	C21.14_FJ461516;C21/3d/C3k_AY239372
359	denovo183	95.65	7	0	5	276	1260.5	C21.11_HQ630874
360	denovo437	96.03	4	1	6	277	1260.5	C94_AJ621539
361	denovo162	96.07	6	4	1	280	1260.5	C31_AY258496
362	denovo751	95.05	6	3	5	283	1260.5	C1_JN558041;C1011_DQ480605
363	denovo660	95.76	2	5	5	283	1260.5	C1c/C45_AY239364;C1d_AY258488;C46_EU449108
364	denovo921	95.42	2	6	5	284	1260.5	F109_AJ291527
365	denovo320	96.74	0	5	4	276	1261	C21/3d/C3k_AY239372
366	denovo1225	95.65	7	0	5	276	1261	C17.1_JF683322
367	denovo611	95.71	4	3	5	280	1261	C31_AY258496
368	denovo961	95.76	5	4	3	283	1261	C1224_EU074890
369	denovo744	95.68	9	1	2	278	1261.5	C17.2_FJ461513
370	denovo792	96.01	8	1	2	276	1262	C32.2_JF683336
371	denovo857	96.01	8	1	2	276	1262	C21.10_JF683331;C21.11_HQ630874
372	denovo858	96.38	4	2	4	276	1262	C21.8_JF683329;C21.7_JF683328;C21/3d/C3k_AY239372
373	denovo196	96.43	3	5	2	280	1262	C31.6_HQ630878;C31_AY258496;C31.1_HQ630876
374	denovo1172	95.71	3	3	6	280	1262.5	C31.2_JF683332
375	denovo296	95.05	9	2	3	283	1262.5	C41_AY258486
376	denovo783	94.43	7	3	6	287	1262.5	G3.1_KC597688
377	denovo89	95.68	8	1	3	278	1263	C17.2_FJ461513
378	denovo258	94.7	11	0	4	283	1263	C1040_AB190269
379	denovo672	95.04	8	1	5	282	1263.5	C1b/C1e_AY239363
380	denovo1092	95.65	5	0	7	276	1264	C21.4_JF683326;C21.11_HQ630874;C21/3d/C3k_AY239372
381	denovo522	95.65	5	0	7	276	1264.5	C21.6_HQ630873
382	denovo172	94.7	10	0	5	283	1264.5	C3_AB778606;C1040_AB190269;C1012_DQ480604
